ErrorID    ;UserName                                                                                            ;ErrorNumber;ErrorState ;ErrorSeverity;ErrorLine  ;ErrorProcedure                                                                                                                                                                                                                                                  ;ErrorMessage                                                                                                                                                                                                                                                    ;ErrorDateTime   
-----------;----------------------------------------------------------------------------------------------------;-----------;-----------;-------------;-----------;----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;----------------
      11759;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.21                                                                                                                                                                                                            ;      2021-02-21
      11760;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.21                                                                                                                                                                                                  ;      2021-02-21
      11826;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.22                                                                                                                                                                                                            ;      2021-02-22
      11827;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.22                                                                                                                                                                                                  ;      2021-02-22
       2784;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.11                                                                                                                                                                                                            ;      2021-02-11
       2785;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.11                                                                                                                                                                                                  ;      2021-02-11
       2825;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.12                                                                                                                                                                                                            ;      2021-02-12
       2826;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.12                                                                                                                                                                                                  ;      2021-02-12
       6825;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.16                                                                                                                                                                                                            ;      2021-02-16
       6826;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.16                                                                                                                                                                                                  ;      2021-02-16
      10955;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.17                                                                                                                                                                                                            ;      2021-02-17
      10956;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.17                                                                                                                                                                                                  ;      2021-02-17
      11062;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.17                                                                                                                                                                                                            ;      2021-02-17
      11063;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.17                                                                                                                                                                                                  ;      2021-02-17
      10914;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.16                                                                                                                                                                                                            ;      2021-02-16
      10915;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.16                                                                                                                                                                                                  ;      2021-02-16
      11129;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.18                                                                                                                                                                                                            ;      2021-02-18
      11130;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.18                                                                                                                                                                                                  ;      2021-02-18
      11225;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.18                                                                                                                                                                                                            ;      2021-02-18
      11226;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.18                                                                                                                                                                                                  ;      2021-02-18
      12070;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.24                                                                                                                                                                                                            ;      2021-02-24
      12071;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.24                                                                                                                                                                                                  ;      2021-02-24
      12118;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.24                                                                                                                                                                                                            ;      2021-02-24
      12119;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.24                                                                                                                                                                                                  ;      2021-02-24
      11989;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.23                                                                                                                                                                                                            ;      2021-02-23
      12030;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.23                                                                                                                                                                                                            ;      2021-02-23
      12159;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.25                                                                                                                                                                                                            ;      2021-02-25
      12160;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.25                                                                                                                                                                                                  ;      2021-02-25
      12233;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.25                                                                                                                                                                                                            ;      2021-02-25
      12234;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.25                                                                                                                                                                                                  ;      2021-02-25
      12313;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.26                                                                                                                                                                                                            ;      2021-02-26
      12314;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.26                                                                                                                                                                                                  ;      2021-02-26
      12389;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.26                                                                                                                                                                                                            ;      2021-02-26
